Cam,Spencer,0,1,1,Rutgers
Clifford,Omoruyi,0,1,1,Rutgers
Paul,Mulcahy,5,1,1,Rutgers
Caleb,McConnell,7,1,0,Rutgers
Aundre,Hyatt,0,2,2,Rutgers
Derek,Simpson,0,3,2,Rutgers
Mawot,Mag,13,2,1,Rutgers
Antwone,Woolfolk,2,4,3,Rutgers
Oskar,Palmquist,13,4,3,Rutgers
Dean,Reiber,6,4,4,Rutgers
Jalen,Miller,10,4,4,Rutgers
Chucky,Hepburn,0,1,1,Wisconsin
Steven,Crowl,0,1,1,Wisconsin
Max,Klesmit,2,1,1,Wisconsin
Tyler,Wahl,3,1,1,Wisconsin
Connor,Essegian,0,2,1,Wisconsin
Jordan,Davis,0,2,2,Wisconsin
Carter,Gilmore,0,3,2,Wisconsin
Kamari,McGee,4,4,4,Wisconsin
Isaac,Lindsey,10,4,4,Wisconsin
Markus,Ilver,15,4,4,Wisconsin
